0 : Body Layout | Body Bbox
1 : Body Layout | Body Center
2 : Body Layout | Horizontal Body Centerline
3 : Body Layout | Vertical Body Centerline
4 : Body Layout | Upper Body Bbox
5 : Body Layout | Upper Body Center
6 : Body Layout | Upper Horizontal Body Centerline
7 : Body Layout | Upper Vertical Body Centerline
8 : Body Layout | Lower Body Bbox
9 : Body Layout | Lower Body Center
10 : Body Layout | Lower Horizontal Body Centerline
11 : Body Layout | Lower Vertical Body Centerline
12 : Body Distances | Left Arm Reach
13 : Body Distances | Right Arm Reach
14 : Body Distances | Left Leg Reach
15 : Body Distances | Right Leg Reach
16 : Body Distances | Hands Distance
17 : Body Distances | Feet Distance
18 : Body Distances | Left Side Distance
19 : Body Distances | Right Side Distance
20 : Body Distances | Fall Diagonal
21 : Body Distances | Rise Diagonal
22 : Center of Mass | Position
23 : Center of Mass | Velocity
24 : Center of Mass | Acceleration
25 : Center of Mass | Jerk
26 : Center of Mass | Distance to Body Center
27 : Joint Angles | Left Armpit
28 : Joint Angles | Right Armpit
29 : Joint Angles | Left Elbow
30 : Joint Angles | Right Elbow
31 : Joint Angles | Left Hip
32 : Joint Angles | Right Hip
33 : Joint Angles | Left Knee
34 : Joint Angles | Right Knee
35 : Joint Angular Velocities | Left Armpit
36 : Joint Angular Velocities | Right Armpit
37 : Joint Angular Velocities | Left Elbow
38 : Joint Angular Velocities | Right Elbow
39 : Joint Angular Velocities | Left Hip
40 : Joint Angular Velocities | Right Hip
41 : Joint Angular Velocities | Left Knee
42 : Joint Angular Velocities | Right Knee
43 : Keypoint Velocities | Left Shoulder
44 : Keypoint Velocities | Right Shoulder
45 : Keypoint Velocities | Left Elbow
46 : Keypoint Velocities | Right Elbow
47 : Keypoint Velocities | Left Wrist
48 : Keypoint Velocities | Right Wrist
49 : Keypoint Velocities | Left Hip
50 : Keypoint Velocities | Right Hip
51 : Keypoint Velocities | Left Knee
52 : Keypoint Velocities | Right Knee
53 : Keypoint Velocities | Left Ankle
54 : Keypoint Velocities | Right Ankle
55 : Wall Contacts | Left Hand
56 : Wall Contacts | Right Hand
57 : Wall Contacts | Left Foot
58 : Wall Contacts | Right Foot
